name, microseconds
2_8,979.430000
8_14,1354.988000
8_14_null_2,748.978000
8_14_null_10,1234.543000
8_14_null_100,1317.698000
2_8,1003.892000
8_14,1349.913000
8_14_null_2,746.612000
8_14_null_10,1233.247000
8_14_null_100,1317.503000
2_8,948.608000
8_14,1347.744000
8_14_null_2,769.538000
8_14_null_10,1277.981000
8_14_null_100,1406.140000
2_8,954.015000
8_14,1327.481000
8_14_null_2,732.903000
8_14_null_10,1234.420000
8_14_null_100,1352.988000
2_8,955.787000
8_14,1326.987000
8_14_null_2,736.770000
8_14_null_10,1234.099000
8_14_null_100,1321.513000
2_8,991.842000
8_14,1347.610000
8_14_null_2,746.379000
8_14_null_10,1237.002000
8_14_null_100,1317.453000
2_8,935.415000
8_14,1395.421000
8_14_null_2,770.311000
8_14_null_10,1281.121000
8_14_null_100,1376.123000
2_8,935.831000
8_14,1340.060000
8_14_null_2,736.812000
8_14_null_10,1234.496000
8_14_null_100,1317.838000
2_8,964.704000
8_14,1387.107000
8_14_null_2,773.183000
8_14_null_10,1292.381000
8_14_null_100,1380.165000
2_8,938.729000
8_14,1386.750000
8_14_null_2,781.977000
8_14_null_10,1301.955000
8_14_null_100,1382.554000
2_8,952.443000
8_14,1386.329000
8_14_null_2,749.447000
8_14_null_10,1272.703000
8_14_null_100,1368.031000
2_8,1022.210000
8_14,1346.971000
8_14_null_2,750.745000
8_14_null_10,1342.738000
8_14_null_100,1360.257000
2_8,1174.253000
8_14,1375.644000
8_14_null_2,761.579000
8_14_null_10,1306.376000
8_14_null_100,1317.713000
2_8,941.627000
8_14,1349.353000
8_14_null_2,748.527000
8_14_null_10,1293.574000
8_14_null_100,1400.466000
2_8,994.682000
8_14,1369.591000
8_14_null_2,825.400000
8_14_null_10,1284.079000
8_14_null_100,1376.426000
2_8,999.344000
8_14,1418.690000
8_14_null_2,804.330000
8_14_null_10,1269.926000
8_14_null_100,1464.413000
2_8,960.452000
8_14,1363.854000
8_14_null_2,744.773000
8_14_null_10,1267.180000
8_14_null_100,1349.269000
2_8,972.995000
8_14,1371.433000
8_14_null_2,776.743000
8_14_null_10,1251.724000
8_14_null_100,1366.241000
2_8,942.185000
8_14,1349.660000
8_14_null_2,785.737000
8_14_null_10,1276.101000
8_14_null_100,1335.467000
2_8,957.864000
8_14,1352.141000
8_14_null_2,749.796000
8_14_null_10,1252.443000
8_14_null_100,1352.197000
2_8,959.028000
8_14,1369.547000
8_14_null_2,746.540000
8_14_null_10,1236.854000
8_14_null_100,1318.698000
2_8,967.258000
8_14,1327.614000
8_14_null_2,737.845000
8_14_null_10,1234.278000
8_14_null_100,1318.763000
2_8,936.811000
8_14,1386.304000
8_14_null_2,746.507000
8_14_null_10,1286.676000
8_14_null_100,1377.208000
2_8,938.631000
8_14,1347.666000
8_14_null_2,749.920000
8_14_null_10,1288.001000
8_14_null_100,1344.254000
2_8,936.189000
8_14,1374.933000
8_14_null_2,761.839000
8_14_null_10,1280.268000
8_14_null_100,1405.133000
2_8,954.609000
8_14,1348.474000
8_14_null_2,756.904000
8_14_null_10,1234.397000
8_14_null_100,1319.364000
2_8,938.195000
8_14,1358.528000
8_14_null_2,768.249000
8_14_null_10,1283.673000
8_14_null_100,1377.312000
2_8,963.961000
8_14,1327.783000
8_14_null_2,736.462000
8_14_null_10,1236.934000
8_14_null_100,1318.615000
2_8,938.880000
8_14,1370.033000
8_14_null_2,749.288000
8_14_null_10,1261.364000
8_14_null_100,1318.396000
2_8,936.162000
8_14,1349.082000
8_14_null_2,747.211000
8_14_null_10,1237.874000
8_14_null_100,1318.452000
2_8,964.281000
8_14,1326.961000
8_14_null_2,732.355000
8_14_null_10,1233.543000
8_14_null_100,1318.696000
2_8,936.376000
8_14,1365.238000
8_14_null_2,767.990000
8_14_null_10,1259.869000
8_14_null_100,1344.415000
2_8,938.455000
8_14,1332.940000
8_14_null_2,748.045000
8_14_null_10,1233.870000
8_14_null_100,1318.787000
2_8,955.858000
8_14,1354.126000
8_14_null_2,775.202000
8_14_null_10,1279.578000
8_14_null_100,1392.247000
2_8,942.285000
8_14,1355.854000
8_14_null_2,747.654000
8_14_null_10,1252.562000
8_14_null_100,1318.338000
2_8,953.162000
8_14,1390.378000
8_14_null_2,765.836000
8_14_null_10,1279.886000
8_14_null_100,1377.084000
2_8,939.470000
8_14,1386.196000
8_14_null_2,762.001000
8_14_null_10,1278.280000
8_14_null_100,1377.380000
2_8,957.735000
8_14,1388.329000
8_14_null_2,765.924000
8_14_null_10,1314.324000
8_14_null_100,1383.785000
2_8,959.267000
8_14,1349.915000
8_14_null_2,745.864000
8_14_null_10,1252.200000
8_14_null_100,1318.416000
2_8,939.295000
8_14,1390.285000
8_14_null_2,749.495000
8_14_null_10,1281.221000
8_14_null_100,1376.885000
2_8,939.599000
8_14,1347.466000
8_14_null_2,746.344000
8_14_null_10,1252.334000
8_14_null_100,1344.421000
2_8,936.801000
8_14,1369.032000
8_14_null_2,749.429000
8_14_null_10,1283.764000
8_14_null_100,1376.868000
2_8,953.895000
8_14,1328.192000
8_14_null_2,761.418000
8_14_null_10,1233.254000
8_14_null_100,1318.563000
2_8,977.919000
8_14,1328.180000
8_14_null_2,736.188000
8_14_null_10,1246.205000
8_14_null_100,1387.353000
2_8,966.490000
8_14,1389.298000
8_14_null_2,766.076000
8_14_null_10,1281.269000
8_14_null_100,1376.958000
2_8,938.276000
8_14,1347.423000
8_14_null_2,745.640000
8_14_null_10,1253.049000
8_14_null_100,1347.156000
2_8,953.017000
8_14,1373.709000
8_14_null_2,756.779000
8_14_null_10,1281.909000
8_14_null_100,1377.194000
2_8,953.098000
8_14,1368.937000
8_14_null_2,747.066000
8_14_null_10,1285.320000
8_14_null_100,1397.847000
2_8,1001.257000
8_14,1364.577000
8_14_null_2,740.299000
8_14_null_10,1235.409000
8_14_null_100,1318.589000
2_8,956.980000
8_14,1329.964000
8_14_null_2,737.241000
8_14_null_10,1233.688000
8_14_null_100,1318.710000
2_8,972.422000
8_14,1389.888000
8_14_null_2,766.617000
8_14_null_10,1279.928000
8_14_null_100,1387.319000
2_8,953.389000
8_14,1349.073000
8_14_null_2,746.353000
8_14_null_10,1254.504000
8_14_null_100,1318.331000
2_8,957.785000
8_14,1350.987000
8_14_null_2,736.267000
8_14_null_10,1235.597000
8_14_null_100,1319.784000
2_8,938.491000
8_14,1386.989000
8_14_null_2,735.960000
8_14_null_10,1233.190000
8_14_null_100,1318.942000
2_8,954.832000
8_14,1442.810000
8_14_null_2,745.770000
8_14_null_10,1253.639000
8_14_null_100,1339.166000
2_8,954.387000
8_14,1367.302000
8_14_null_2,765.844000
8_14_null_10,1354.613000
8_14_null_100,1329.257000
2_8,957.378000
8_14,1350.212000
8_14_null_2,746.987000
8_14_null_10,1237.024000
8_14_null_100,1323.601000
2_8,940.843000
8_14,1386.664000
8_14_null_2,787.619000
8_14_null_10,1282.477000
8_14_null_100,1392.111000
2_8,953.679000
8_14,1354.847000
8_14_null_2,749.327000
8_14_null_10,1279.749000
8_14_null_100,1384.912000
2_8,938.697000
8_14,1348.871000
8_14_null_2,770.434000
8_14_null_10,1291.590000
8_14_null_100,1377.053000
2_8,938.054000
8_14,1373.263000
8_14_null_2,749.996000
8_14_null_10,1258.935000
8_14_null_100,1345.176000
2_8,1015.636000
8_14,1333.776000
8_14_null_2,746.488000
8_14_null_10,1257.062000
8_14_null_100,1344.051000
2_8,946.378000
8_14,1327.082000
8_14_null_2,746.759000
8_14_null_10,1251.578000
8_14_null_100,1318.399000
2_8,953.916000
8_14,1401.464000
8_14_null_2,765.844000
8_14_null_10,1281.520000
8_14_null_100,1394.268000
2_8,938.850000
8_14,1348.421000
8_14_null_2,768.573000
8_14_null_10,1304.500000
8_14_null_100,1381.262000
2_8,954.975000
8_14,1327.110000
8_14_null_2,735.714000
8_14_null_10,1235.173000
8_14_null_100,1319.054000
2_8,954.581000
8_14,1427.041000
8_14_null_2,766.439000
8_14_null_10,1283.613000
8_14_null_100,1376.786000
2_8,1017.565000
8_14,1329.064000
8_14_null_2,736.411000
8_14_null_10,1234.589000
8_14_null_100,1318.281000
2_8,972.886000
8_14,1367.810000
8_14_null_2,756.543000
8_14_null_10,1284.081000
8_14_null_100,1383.885000
2_8,943.349000
8_14,1327.336000
8_14_null_2,736.250000
8_14_null_10,1235.488000
8_14_null_100,1318.526000
2_8,944.273000
8_14,1354.452000
8_14_null_2,748.626000
8_14_null_10,1257.842000
8_14_null_100,1344.915000
2_8,967.491000
8_14,1395.243000
8_14_null_2,775.659000
8_14_null_10,1304.704000
8_14_null_100,1429.415000
2_8,954.905000
8_14,1333.555000
8_14_null_2,739.873000
8_14_null_10,1244.281000
8_14_null_100,1317.687000
2_8,946.183000
8_14,1352.981000
8_14_null_2,753.717000
8_14_null_10,1288.044000
8_14_null_100,1394.806000
2_8,981.356000
8_14,1326.869000
8_14_null_2,736.801000
8_14_null_10,1236.294000
8_14_null_100,1317.681000
2_8,954.748000
8_14,1347.301000
8_14_null_2,764.972000
8_14_null_10,1284.443000
8_14_null_100,1393.187000
2_8,963.731000
8_14,1327.276000
8_14_null_2,735.988000
8_14_null_10,1234.732000
8_14_null_100,1342.281000
2_8,963.017000
8_14,1355.774000
8_14_null_2,761.043000
8_14_null_10,1279.248000
8_14_null_100,1386.004000
2_8,964.904000
8_14,1327.200000
8_14_null_2,738.582000
8_14_null_10,1235.684000
8_14_null_100,1328.773000
2_8,971.116000
8_14,1347.108000
8_14_null_2,778.983000
8_14_null_10,1257.319000
8_14_null_100,1386.547000
2_8,966.808000
8_14,1327.209000
8_14_null_2,736.027000
8_14_null_10,1234.287000
8_14_null_100,1318.116000
2_8,966.079000
8_14,1392.323000
8_14_null_2,769.910000
8_14_null_10,1281.116000
8_14_null_100,1381.875000
2_8,949.828000
8_14,1327.003000
8_14_null_2,736.258000
8_14_null_10,1233.880000
8_14_null_100,1318.097000
2_8,966.306000
8_14,1353.420000
8_14_null_2,749.279000
8_14_null_10,1288.277000
8_14_null_100,1386.430000
2_8,952.180000
8_14,1350.956000
8_14_null_2,747.969000
8_14_null_10,1234.543000
8_14_null_100,1317.775000
2_8,968.331000
8_14,1327.228000
8_14_null_2,736.153000
8_14_null_10,1233.820000
8_14_null_100,1324.501000
2_8,941.020000
8_14,1347.684000
8_14_null_2,747.159000
8_14_null_10,1236.323000
8_14_null_100,1318.107000
2_8,956.096000
8_14,1389.863000
8_14_null_2,765.696000
8_14_null_10,1303.599000
8_14_null_100,1379.618000
2_8,968.463000
8_14,1370.852000
8_14_null_2,746.295000
8_14_null_10,1254.835000
8_14_null_100,1318.113000
2_8,967.859000
8_14,1329.074000
8_14_null_2,736.273000
8_14_null_10,1237.839000
8_14_null_100,1318.986000
2_8,970.461000
8_14,1327.091000
8_14_null_2,735.522000
8_14_null_10,1233.953000
8_14_null_100,1318.428000
2_8,955.193000
8_14,1386.978000
8_14_null_2,771.821000
8_14_null_10,1302.109000
8_14_null_100,1386.562000
2_8,965.006000
8_14,1353.867000
8_14_null_2,751.830000
8_14_null_10,1261.018000
8_14_null_100,1377.470000
2_8,963.474000
8_14,1364.662000
8_14_null_2,746.331000
8_14_null_10,1238.138000
8_14_null_100,1320.383000
2_8,964.970000
8_14,1362.017000
8_14_null_2,736.175000
8_14_null_10,1233.658000
8_14_null_100,1319.339000
2_8,965.785000
8_14,1330.846000
8_14_null_2,736.454000
8_14_null_10,1243.401000
8_14_null_100,1321.212000
2_8,966.963000
8_14,1342.687000
8_14_null_2,749.333000
8_14_null_10,1256.862000
8_14_null_100,1363.915000
2_8,971.182000
8_14,1326.999000
8_14_null_2,742.356000
8_14_null_10,1234.928000
8_14_null_100,1327.774000
2_8,955.134000
8_14,1395.633000
8_14_null_2,756.565000
8_14_null_10,1283.759000
8_14_null_100,1385.527000
2_8,970.006000
8_14,1348.308000
8_14_null_2,746.875000
8_14_null_10,1232.815000
8_14_null_100,1318.153000
2_8,957.261000
8_14,1388.588000
8_14_null_2,768.843000
8_14_null_10,1318.529000
8_14_null_100,1379.673000
2_8,971.888000
8_14,1390.219000
8_14_null_2,765.757000
8_14_null_10,1276.576000
8_14_null_100,1405.568000
2_8,973.601000
8_14,1351.639000
8_14_null_2,746.455000
8_14_null_10,1234.280000
8_14_null_100,1318.169000
2_8,964.867000
8_14,1333.187000
8_14_null_2,766.342000
8_14_null_10,1281.632000
8_14_null_100,1379.428000
2_8,974.951000
8_14,1358.058000
8_14_null_2,745.692000
8_14_null_10,1235.518000
8_14_null_100,1319.946000
2_8,970.471000
8_14,1352.907000
8_14_null_2,749.712000
8_14_null_10,1281.223000
8_14_null_100,1376.571000
2_8,968.710000
8_14,1359.567000
8_14_null_2,750.712000
8_14_null_10,1280.377000
8_14_null_100,1376.564000
2_8,974.775000
8_14,1353.215000
8_14_null_2,746.654000
8_14_null_10,1234.682000
8_14_null_100,1321.503000
2_8,1017.982000
8_14,1358.863000
8_14_null_2,745.766000
8_14_null_10,1266.499000
8_14_null_100,1369.088000
2_8,993.382000
8_14,1385.628000
8_14_null_2,771.571000
8_14_null_10,1306.808000
8_14_null_100,1406.633000
2_8,991.689000
8_14,1424.991000
8_14_null_2,774.155000
8_14_null_10,1308.139000
8_14_null_100,1419.642000
2_8,989.165000
8_14,1336.703000
8_14_null_2,736.770000
8_14_null_10,1234.922000
8_14_null_100,1318.993000
2_8,995.496000
8_14,1347.437000
8_14_null_2,746.966000
8_14_null_10,1235.491000
8_14_null_100,1320.037000
2_8,980.432000
8_14,1348.321000
8_14_null_2,737.130000
8_14_null_10,1238.227000
8_14_null_100,1321.456000
2_8,996.751000
8_14,1386.135000
8_14_null_2,767.259000
8_14_null_10,1291.332000
8_14_null_100,1379.753000
2_8,990.532000
8_14,1361.862000
8_14_null_2,736.770000
8_14_null_10,1242.969000
8_14_null_100,1323.417000
2_8,989.441000
8_14,1365.701000
8_14_null_2,736.907000
8_14_null_10,1234.442000
8_14_null_100,1319.185000
2_8,997.448000
8_14,1351.485000
8_14_null_2,735.220000
8_14_null_10,1243.128000
8_14_null_100,1320.269000
